label,protein,calcium,fat,carbohydrates,vitamins,calories
foie_gras,11.4,0.07,43.84,4.67,3.335,459
french_fries,2.38,0.011,4.76,25.0,3.335,152
french_onion_soup,4.21,0.088,3.51,6.32,0.1421,74
french_toast,6.78,0.068,3.39,33.05,0.0,190
fried_calamari,2.07,0.05,18.1,34.05,0.0068,307
fried_rice,7.69,0.013,3.21,27.24,0.2419,169
frozen_yogurt,4.41,0.368,2.21,32.35,0.441,167
garlic_bread,8.51,0.085,12.77,40.43,0.0,311
gnocchi,3.33,0.0,0.0,33.33,0.001,147
greek_salad,2.01,0.034,4.03,7.38,3.2001,74
grilled_cheese_sandwich,15.33,0.4,18.0,31.33,0.137,349
grilled_salmon,24.64,0.014,9.42,0.0,0.1467,183
guacamole,3.57,0.0,7.14,10.71,0.3741,121
gyoza,3.33,0.0,7.14,33.33,0.3741,211
hamburger,9.3,0.093,2.33,44.19,0.0,235
hot_and_sour_soup,2.58,0.019,1.21,4.35,0.0,39
hot_dog,19.3,0.035,14.04,1.75,0.2651,211
huevos_rancheros,6.87,0.049,6.48,8.72,0.264,121
hummus,10.71,0.071,8.93,28.57,0.0,237
ice_cream,4.29,0.086,8.57,37.14,0.0,243
lasagna,12.5,0.018,1.79,75.0,0.0,366
lobster_bisque,5.22,0.052,2.6,1.7,0.0013,51
lobster_roll_sandwich,21.64,0.052,8.12,16.5,0.0004,226
macaroni_and_cheese,6.09,0.085,4.78,18.7,0.0004,142
macarons,10.0,0.083,23.33,53.33,0.0004,463
miso_soup,1.92,0.027,0.8,2.08,0.0004,23
mussels,23.89,0.033,4.42,7.08,0.0004,164
nachos,4.32,0.063,21.5,34.91,0.0011,350
omelette,7.93,0.066,3.96,4.85,0.1386,87
onion_rings,0.0,0.071,21.43,71.43,0.0,479
oysters,4.77,0.075,10.78,18.41,0.0018,190
pad_thai,8.12,0.021,7.39,14.32,0.0047,156
paella,13.33,0.067,3.33,82.22,1.341,412
pancakes,6.45,0.097,2.42,53.23,0.161,260
panna_cotta,3.0,0.15,10.0,30.0,0.161,222
peking_duck,0.36,0.011,0.13,60.61,0.1619,245
pho,6.14,0.011,2.24,10.39,0.1625,86
pizza,10.59,0.294,9.41,23.53,0.2378,221
pork_chop,27.69,0.008,10.5,0.0,0.235,205
poutine,11.25,0.188,18.75,20.0,0.375,294
prime_rib,16.15,0.009,31.66,0.0,0.0,350
pulled_pork_sandwich,10.33,0.033,7.07,31.52,0.109,231
ramen,12.73,0.036,2.73,63.64,0.7281,330
ravioli,13.0,0.25,10.0,29.0,1.75,258
red_velvet_cake,4.67,0.037,22.43,57.01,0.374,449
risotto,8.11,0.0,2.7,75.68,0.8207,359
samosa,4.66,0.027,17.87,32.21,0.8154,308
sashimi,14.73,0.016,9.3,3.1,0.0037,155
scallops,15.04,0.0,0.88,0.88,0.0,72
seaweed_salad,0.0,0.111,2.78,11.11,0.222,69
shrimp_and_grits,8.82,0.074,8.33,9.8,0.3798,149
spaghetti_bolognese,1.39,0.026,1.61,7.43,0.37,50
spaghetti_carbonara,1.39,0.026,1.61,7.43,0.37,50
spring_rolls,11.9,0.048,7.14,19.05,0.595,188
steak,0.0,0.0,0.0,111.11,0.0,444
strawberry_shortcake,5.26,0.0,21.05,57.89,0.0,442
sushi,0.0,0.0,0.0,3.57,0.0,14
tacos,10.94,0.016,4.69,23.44,0.1607,180
takoyaki,12.3,0.035,0.8,0.0,0.0,56
tiramisu,5.91,0.066,24.26,29.61,0.0011,360
tuna_tartare,15.67,0.032,13.84,1.56,0.0052,193
waffles,4.69,0.031,17.19,51.56,0.0,380
